product_names,product_prices,category
Samsung Galaxy Tab A6 - 1.5GB RAM - 8GB ROM - Android 7,"Rs. 15,000",mobiles and tablets
Amazon kindle touch and audio speech 4th generation hai,"Rs. 7,000",mobiles and tablets
Redmi 12 || 8GB Ram 128GB Rom || 5000mAh Battery,"Rs. 44,999",mobiles and tablets
Amazon kindle paperwhite ereader 4th generation,"Rs. 4,500",mobiles and tablets
Redmi 12C 4GB Ram 5000mAh Battery Fingerprint Sensor,"Rs. 27,999",mobiles and tablets
Itel S23 - 8GB Ram - 256GB Rom - 5000mAh Battery,"Rs. 32,500",mobiles and tablets
Redmi Note 12 || 8GB Ram 256GB Rom || 5000mAh Battery,"Rs. 61,999",mobiles and tablets
Sony Xperia XZ3 - 4gb/64gb - Original Global/UK Variant - PTA Approved,"Rs. 32,860",mobiles and tablets
"Redmi 12 - 6.79"" Inch Display - 8GB RAM - 128GB ROM","Rs. 46,950",mobiles and tablets
Japanese Android Tab,"Rs. 10,999",mobiles and tablets
Wacom One CTL-472 Digital Graphic Drawing Tablet Pad,"Rs. 19,990",mobiles and tablets
Amazon kindle paperwhite tablet ereader 4th generation,"Rs. 6,000",mobiles and tablets
Samsung Galaxy Tab A6 - 1.5GB RAM - 8GB ROM - Android 7,"Rs. 12,775",mobiles and tablets
"Redmi 12C - 6.71"" Inch Display - 4GB RAM","Rs. 25,999",mobiles and tablets
Wacom One CTL-672 Digital Graphic Drawing Tablet Pad,"Rs. 27,700",mobiles and tablets
Samsung Galaxy A14 6GB-128GB ROM PTA APPROVED OFFICIAL BRAND WARRANTY,"Rs. 59,999",mobiles and tablets
amazon kindle keyboard 3rd generation audio speech ereader paperwhite,"Rs. 5,000",mobiles and tablets
Samsung Galaxy A04 4GB - 64GB OFFICIAL PTA APPROVED OFFICIAL WARRANTY,"Rs. 42,999",mobiles and tablets
Ladies suit or women yellow,"Rs. 9,000",mobiles and tablets
Redmi 12C 4GB RAM -128GB ROM PTA APPROVED OFFICIAL WARRANTY,"Rs. 27,999",mobiles and tablets
MOTO G6 SINGLE SIM ONLY KIT,"Rs. 17,500",mobiles and tablets
keypad Mobile,"Rs. 9,000",mobiles and tablets
vivo y17 4GB 64GB Dual Sim Approved 5000mAh Battery Only Phone,"Rs. 25,000",mobiles and tablets
Redmi Note 12s || 8GB Ram 256GB Rom || 5000mAh Battery,"Rs. 74,999",mobiles and tablets
SUMSUNG FILP 3 PTA APPROVD ONLY KIT,"Rs. 199,499",mobiles and tablets
W01 Japan wifi,"Rs. 4,500",mobiles and tablets
Samsung Galaxy Tab E - 1.5GB RAM - 16GB ROM - Android 7 - FREE TABLET COVER,"Rs. 13,899",mobiles and tablets
"Daraz Like New Tablets – Amazon Fire HD 7 | 9th Generation | 16 GB Storage | 1 GB RAM | Quad-core 1.3 GHz Cortex-A53| 7"" HD| 2 MP front and 2 MP rear-facing cameras with video recording","Rs. 12,500",mobiles and tablets
oppo A37 || 3-4GB Ram || 32-64GB Rom || snapdragon 410 || 2630 mAh Battery || Dual sim || PTA Approved || Mobile phone,"Rs. 13,999",mobiles and tablets
"Infinix Note 30 , 8GB RAM 256GB ROM , 64MP Main Camera , Fingerprint , 5000mAh Fast Charging","Rs. 48,999",mobiles and tablets
Amazon Fire 7 | 5th Generation | 8 GB Storage | 1 GB RAM | 1.3 GHz quad-core processor | 7″ IPS Display | 2 MP main camera and rear-facing cameras with 720p HD video recording| 2980 mAh Battery,"Rs. 8,749",mobiles and tablets
Vivo X7 || 4-6 GB Ram || 64-128 GB Rom || Snapdragon 652 || Super AMOLED Display|| Dual Sim || 3000mAh Battery || PTA Approved || Mobile Phone,"Rs. 18,999",mobiles and tablets
SAMSUNG TAB A7 LITE T220 4GB RAM/64GB STORAGE/WIFI /8.7 INCH(BRAND NEW),"Rs. 45,079",mobiles and tablets
"SAMSUNG GALAXY TAB A7 LITE T220 3GB,32GB,8.7INCH,ONLY WIFI","Rs. 39,199",mobiles and tablets
Amazon kindle paperwhite 1 - 5th generation 2gb Ereader Book reader E-Book,"Rs. 10,000",mobiles and tablets
Lenovo tab 4 - 2 GB RAM - 16 GB ROM - 8'' Screen Size - HD Screen - Free Gift Inside,"Rs. 13,999",mobiles and tablets
Sony xperia 5 mark 2 official pta 8/128,"Rs. 57,000",mobiles and tablets
"SAMSUNG GALAXY TAB A7 LITE T225 3GB,32GB,8.7INCH,SIM PLUS WIFI PTA APPROVED","Rs. 49,999",mobiles and tablets
Redmi Note 12 || 8GB Ram 128GB Rom || 6.67 Inches AMOLED Display || 5000 mAh - Fast charging 33W wired ||,"Rs. 53,699",mobiles and tablets
Google Pixel 4a 5G 128GB Storage 6GB RAM Snapdragon 765G 5G 3885 mAh Battery 16 MP Camera Official PTA Approved Mobile Phone,"Rs. 55,999",mobiles and tablets
Redmi Note 12 || 8GB Ram 128GB Rom || 6.67 Inches AMOLED Display || 5000 mAh - Fast charging 33W wired ||,"Rs. 53,499",mobiles and tablets
"SAMSUNG GALAXY TAB A8 X205 4GB/64GB/10.5INCH/SIM PTA APPROVED,BRAND NEW","Rs. 78,399",mobiles and tablets
Motorola Edge Plus | 256GB Storage | 12GB RAM | Snapdragon 865 | 5000 mAh Battery | 108MP Camera | Official PTA Approved | Mobile Phone,"Rs. 81,599",mobiles and tablets
Redmi Note 12 Pro (8GB+256GB) 6.67'' AMOLED display PTA Approved 1 Year Official Warranty,"Rs. 88,999",mobiles and tablets
"Redemi 12 , 8GB Ram 128GB , 6.79 Inches IPS Display , 5000 mAh - Fast charging 18W","Rs. 43,999",mobiles and tablets
Itel S23 || 8GB Ram 128GB Rom || 6.6 Inches IPS Display 90Hz || 5000 mAh- Battery charging 10W,"Rs. 30,499",mobiles and tablets
Redmi A2+ 3Gb 64Gb - 6.52” HD+ Display - 5000mAh Battery - PTA Approved 1 Year Official Warranty,"Rs. 22,599",mobiles and tablets
Lenovo Tab E10 2GB Ram - 16GB Rom Android 8 - 10inches Screen,"Rs. 17,999",mobiles and tablets
"HONOR X6 Mobile Phone, 6.5 Inch Dual SIM PTA Approved, 50MP Triple Camera, 5000mAh Battery, 4GB+64GB, Android 12 With 1 Year Warranty","Rs. 34,999",mobiles and tablets
"Infinix Note 30 RAM 8 GB ROM 256 GB Front Camera 16 MP Back Camera 64 MP + 2 MP + AI Cam Battery Type Li-Po 5000 mAh, non-removable","Rs. 51,480",mobiles and tablets
