product_names,product_prices,category
"POCO X5 5G (Supernova Green, 256 GB)","₹14,999",mobiles
"POCO X5 5G (Wildcat Blue, 256 GB)","₹14,999",mobiles
"APPLE iPhone 14 (Blue, 128 GB)","₹56,999",mobiles
"APPLE iPhone 14 (Starlight, 128 GB)","₹56,999",mobiles
"APPLE iPhone 14 (Midnight, 128 GB)","₹57,999",mobiles
"APPLE iPhone 14 Plus (Blue, 128 GB)","₹63,999",mobiles
"APPLE iPhone 14 (Purple, 128 GB)","₹57,999",mobiles
"POCO X5 Pro 5G (Horizon Blue, 128 GB)","₹18,499",mobiles
"POCO C51 (Royal Blue, 64 GB)","₹5,999
",mobiles
"APPLE iPhone 14 Plus (Starlight, 128 GB)","₹63,999",mobiles
"POCO X5 Pro 5G (Astral Black, 128 GB)","₹18,499",mobiles
"POCO X5 5G (Jaguar Black, 256 GB)","₹14,999",mobiles
"vivo T2x 5G (Glimmer Black, 128 GB)","₹14,999",mobiles
"vivo T2x 5G (Marine Blue, 128 GB)","₹14,999",mobiles
"vivo T2x 5G (Glimmer Black, 128 GB)","₹12,999",mobiles
"vivo T2x 5G (Marine Blue, 128 GB)","₹12,999",mobiles
"POCO X5 Pro 5G (Yellow, 256 GB)","₹19,499",mobiles
"POCO X5 Pro 5G (Astral Black, 256 GB)","₹19,499",mobiles
"vivo T2x 5G (Aurora Gold, 128 GB)","₹12,999",mobiles
"vivo T2x 5G (Aurora Gold, 128 GB)","₹14,999",mobiles
"POCO X5 5G (Jaguar Black, 128 GB)","₹13,999",mobiles
"POCO X5 Pro 5G (Horizon Blue, 256 GB)","₹19,499",mobiles
"vivo T2x 5G (Aurora Gold, 128 GB)","₹11,999",mobiles
"vivo T2x 5G (Glimmer Black, 128 GB)","₹11,999",mobiles
"vivo T2x 5G (Marine Blue, 128 GB)","₹11,999",mobiles
"REDMI 12 (Jade Black, 128 GB)","₹9,299
",mobiles
"POCO X5 5G (Supernova Green, 128 GB)","₹13,999",mobiles
"POCO X5 Pro 5G (Yellow, 128 GB)","₹18,499",mobiles
"APPLE iPhone 14 Plus (Midnight, 128 GB)","₹63,999",mobiles
"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)","₹17,079",mobiles
"POCO X5 5G (Wildcat Blue, 128 GB)","₹13,999",mobiles
"REDMI 12 (Pastel Blue, 128 GB)","₹9,299
",mobiles
"POCO C55 (Cool Blue, 128 GB)","₹7,799
",mobiles
"REDMI 12 (Moonstone Silver, 128 GB)","₹9,299
",mobiles
"SAMSUNG Galaxy F04 (Opal Green, 64 GB)","₹6,499
",mobiles
"APPLE iPhone 14 Plus (Purple, 128 GB)","₹63,999",mobiles
"POCO C55 (Power Black, 128 GB)","₹7,799
",mobiles
"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)","₹12,490",mobiles
"MOTOROLA g54 5G (Mint Green, 256 GB)","₹15,999",mobiles
"POCO C51 - Locked with Airtel Prepaid (Power Black, 64 GB)","₹5,499
",mobiles
"POCO C51 (Power Black, 64 GB)","₹5,999
",mobiles
"REDMI Note 12 Pro 5G (Glacier Blue, 256 GB)","₹22,999",mobiles
"MOTOROLA e13 (Aurora Green, 64 GB)","₹6,499
",mobiles
"MOTOROLA g54 5G (Pearl Blue, 256 GB)","₹15,999",mobiles
"MOTOROLA Edge 40 (Nebula Green, 256 GB)","₹26,999",mobiles
"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)","₹12,490",mobiles
"OPPO Reno10 5G (Ice Blue, 256 GB)","₹32,999",mobiles
"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)","₹6,499
",mobiles
"vivo T2x 5G (Marine Blue, 128 GB)","₹11,999",mobiles
"REDMI 12 (Jade Black, 128 GB)","₹9,299
",mobiles
"POCO X5 5G (Supernova Green, 128 GB)","₹13,999",mobiles
"POCO X5 Pro 5G (Yellow, 128 GB)","₹18,499",mobiles
"APPLE iPhone 14 Plus (Midnight, 128 GB)","₹63,999",mobiles
"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)","₹17,079",mobiles
"POCO X5 5G (Wildcat Blue, 128 GB)","₹13,999",mobiles
"REDMI 12 (Pastel Blue, 128 GB)","₹9,299
",mobiles
"POCO C55 (Cool Blue, 128 GB)","₹7,799
",mobiles
"REDMI 12 (Moonstone Silver, 128 GB)","₹9,299
",mobiles
"SAMSUNG Galaxy F04 (Opal Green, 64 GB)","₹6,499
",mobiles
"APPLE iPhone 14 Plus (Purple, 128 GB)","₹63,999",mobiles
"POCO C55 (Power Black, 128 GB)","₹7,799
",mobiles
"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)","₹12,490",mobiles
"MOTOROLA g54 5G (Mint Green, 256 GB)","₹15,999",mobiles
"POCO C51 - Locked with Airtel Prepaid (Power Black, 64 GB)","₹5,499
",mobiles
"POCO C51 (Power Black, 64 GB)","₹5,999
",mobiles
"REDMI Note 12 Pro 5G (Glacier Blue, 256 GB)","₹22,999",mobiles
"MOTOROLA e13 (Aurora Green, 64 GB)","₹6,499
",mobiles
"MOTOROLA g54 5G (Pearl Blue, 256 GB)","₹15,999",mobiles
"MOTOROLA Edge 40 (Nebula Green, 256 GB)","₹26,999",mobiles
"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)","₹12,490",mobiles
"OPPO Reno10 5G (Ice Blue, 256 GB)","₹32,999",mobiles
"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)","₹6,499
",mobiles
"POCO C55 (Forest Green, 128 GB)","₹7,799
",mobiles
"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)","₹12,490",mobiles
"POCO X5 Pro 5G (Astral Black, 256 GB)","₹19,499",mobiles
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)","₹21,666",mobiles
"POCO X5 Pro 5G (Horizon Blue, 256 GB)","₹19,499",mobiles
"POCO M6 Pro 5G (Power Black, 128 GB)","₹11,999",mobiles
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)","₹19,788",mobiles
"OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)","₹17,043",mobiles
"POCO C51 - Locked with Airtel Prepaid (Royal Blue, 64 GB)","₹5,499
",mobiles
"REDMI Note 12 Pro 5G (Glacier Blue, 128 GB)","₹20,999",mobiles
"Infinix SMART 7 (Azure Blue, 64 GB)","₹6,799
",mobiles
"Infinix SMART 7 (Emerald Green, 64 GB)","₹6,799
",mobiles
"MOTOROLA g54 5G (Mint Green, 128 GB)","₹13,999",mobiles
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)","₹19,770",mobiles
"MOTOROLA e13 (Creamy White, 64 GB)","₹6,499
",mobiles
"Infinix HOT 30i (Glacier Blue, 128 GB)","₹8,299
",mobiles
"Infinix HOT 30i (Diamond White, 128 GB)","₹8,299
",mobiles
"Infinix Note 30 5G (Sunset Gold, 128 GB)","₹13,999",mobiles
"Infinix SMART 7 (Azure Blue, 128 GB)","₹6,699
",mobiles
"Infinix SMART 7 (Night Black, 64 GB)","₹6,799
",mobiles
"POCO M6 Pro 5G (Forest Green, 128 GB)","₹11,999",mobiles
"Infinix HOT 30i (Glacier Blue, 64 GB)","₹7,499
",mobiles
"realme C51 (Mint Green, 64 GB)","₹7,999
",mobiles
"realme C51 (Carbon Black, 64 GB)","₹7,999
",mobiles
